Date : 2025-12-04 10:54:59
Directory : /Users/marie/Documents/GBO-Updated
Total : 362 files,  18888 codes, 912 comments, 1969 blanks, all 21769 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| /Users/marie/Documents/GBO-Updated/lib/screens/splash_screen.dart                                                   | Dart         |        176 |         12 |         26 |        214 |
| /Users/marie/Documents/GBO-Updated/lib/screens/squad_selection_screen.dart                                          | Dart         |        652 |         11 |         60 |        723 |
| /Users/marie/Documents/GBO-Updated/lib/screens/team_club_migration_screen.dart                                      | Dart         |        634 |          7 |         37 |        678 |
| /Users/marie/Documents/GBO-Updated/lib/screens/team_detail_screen.dart                                              | Dart         |      1,075 |         16 |         64 |      1,155 |
| /Users/marie/Documents/GBO-Updated/lib/screens/team_details_screen.dart                                             | Dart         |        644 |         15 |         43 |        702 |
| /Users/marie/Documents/GBO-Updated/lib/screens/team_edit_screen.dart                                                | Dart         |      1,663 |         29 |        103 |      1,795 |
| /Users/marie/Documents/GBO-Updated/lib/screens/team_form_screen.dart                                                | Dart         |        676 |         20 |         32 |        728 |
| /Users/marie/Documents/GBO-Updated/lib/screens/team_games_view.dart                                                 | Dart         |        398 |         15 |         43 |        456 |
| /Users/marie/Documents/GBO-Updated/lib/screens/team_management_screen.dart                                          | Dart         |      1,108 |         32 |         71 |      1,211 |
| /Users/marie/Documents/GBO-Updated/lib/screens/team_manager_management_screen.dart                                  | Dart         |        386 |          0 |         28 |        414 |
| /Users/marie/Documents/GBO-Updated/lib/screens/team_tournament_registration_screen.dart                             | Dart         |        669 |          8 |         37 |        714 |
